timeStamp,ThrustV,CombustTempV,InletPressureV,InletTempV,PressureRatioV,FuelPressureV,FuelPumpPowerV,CoolantTempV,CoolantPressureV,CoolantPumpPowerV,SparkPlugStatus
2025-09-10T08:46:04.294,0,20.1747,2.00541,19.8742,1.97919,0.308007,50.1587,34.788,1.19037,59.8798,OFF
2025-09-10T08:46:04.533,0,20.4684,2.01164,19.9431,1.98534,0.304903,50.1217,34.5542,1.19684,59.9843,OFF
2025-09-10T08:46:04.788,0.309703,21.2729,2.02067,19.9996,1.99424,0.314069,50.4037,34.9486,1.19711,60.1732,OFF
2025-09-10T08:46:05.034,0.14288,20.6277,2.02098,19.9371,1.99455,0.32366,50.8006,35.2821,1.20342,60.2878,ON
2025-09-10T08:46:05.297,0.400808,20.3807,2.02983,19.8838,2.00329,0.31961,51.0456,35.6377,1.20285,60.2755,OFF
2025-09-10T08:46:05.533,0.304486,20,2.03911,19.899,2.01244,0.324172,50.8541,35.6536,1.19444,60.5929,OFF
2025-09-10T08:46:05.784,0.253846,20,2.04393,19.733,2.0172,0.323621,50.59,35.7947,1.20088,60.3774,OFF
2025-09-10T08:46:06.033,0.128794,20.4174,2.04238,19.9241,2.01568,0.332309,50.3393,35.9292,1.19597,60.7683,OFF
2025-09-10T08:46:06.287,0,20,2.04844,19.8589,2.02165,0.338892,49.9093,35.6967,1.19403,61.1942,OFF
2025-09-10T08:46:06.535,0,20.3715,2.05162,20.1012,2.02479,0.347792,49.7905,35.729,1.1956,60.9602,OFF
2025-09-10T08:46:06.790,0.230491,20,2.05491,19.9342,2.02803,0.356333,50.2559,35.8403,1.19314,60.6787,OFF
2025-09-10T08:46:07.036,0,20.1747,2.04492,20.1593,2.01818,0.347322,50.1194,35.4819,1.1939,60.6883,OFF
2025-09-10T08:46:07.298,0,20.1782,2.05349,20.0017,2.02664,0.340527,49.9727,35.6701,1.19111,60.5288,OFF
2025-09-10T08:46:07.552,0,20.6881,2.05868,20.1715,2.03176,0.349876,49.7602,35.284,1.1831,60.1979,OFF
2025-09-10T08:46:07.799,0.113651,21.6161,2.06294,19.9573,2.03597,0.35533,49.9478,35.3874,1.18671,60.4027,OFF
2025-09-10T08:46:08.054,0.485972,20.6657,2.07086,19.8506,2.04378,0.359822,50.1131,35.7471,1.19545,60.0371,OFF
2025-09-10T08:46:08.304,0.714462,20.0725,2.0761,19.9649,2.04895,0.360765,50.1365,35.8921,1.2015,59.7379,OFF
2025-09-10T08:46:08.576,0.692714,20,2.06863,20.1619,2.04157,0.356424,49.759,36.0759,1.20143,59.6296,OFF
